Food ID	Food name	Energy (kJ)	Protein (g)	Fat, total (g)	Fat, saturated (g)	Available carbohydrate (g)	Total sugars (g)	Sodium (mg)
13B20133	Soy beverage, reduced fat (fat approximately 1.5%), unflavoured, added fibre	233	3	1.5	0.2	6.6	2.2	44
13B20138	Soy beverage, reduced fat (fat approximately 1.5%), unflavoured,  added protein	287	4.4	1.5	0.2	9.1	3.3	75
13B20142	Tofu (soy bean curd), firm, stir-fried with no added fat	726	16.4	10	1.4	0	0	55
13B20143	Tofu (soy bean curd), firm, baked with no added fat	623	14.1	8.6	1.2	0	0	47
13B20144	Tofu (soy bean curd), silken or soft, stir-fried with no added fat	355	10.4	2.7	0.4	3.6	1.1	29
13B20165	Pappadam, raw	1406	25.6	3.2	1.2	41.3	0	2850
13B20166	Pappadam, microwaved with no added salt or fat	1421	25.9	3.3	1.2	41.7	0	2879
13B20169	Soy yoghurt, low fat (fat less than 1%), vanilla flavoured	318	3.3	0.6	0.1	13.6	9.3	75
13B20172	Soy yoghurt, regular fat (fat approximately 3%), vanilla flavoured	407	3.3	3	0.4	13.6	9.3	75
13B20180	Tofu (soy bean curd), smoked, as purchased	752	17.3	9.8	1.3	4.6	0.3	750
13B20181	Soy bean curd skins, dried, rehydrated in boiling water	346	8.7	3.8	0.7	2.3	0.4	54
13B20185	Soy beverage, regular fat (fat approximately 3%), unflavoured	249	3.7	2.7	0.4	4.6	2.6	44
13B20186	Soy beverage, reduced fat (fat approximately 1%), unflavoured	189	3	0.9	0.1	5.7	1.7	45
13B20187	Ice confection, tofu-based, vanilla flavour	674	3.2	3	0.4	29.7	29.5	104
13B20196	Soy beverage, low fat (fat approximately 0.5%), unflavoured	226	3.2	0.5	0.1	8.7	1.3	51
13B20207	Soy beverage, reduced fat (fat approximately 1.5%), unflavoured	261	3.2	1.4	0.2	8.7	1.3	51
14A10018	Intense sweetener, containing aspartame, liquid	31	1.8	0	0	0	0	0
14A10027	Intense sweetener, containing aspartame, powdered formulation	1700	3	0	0	97	97	0
14A10028	Intense sweetener, containing aspartame, tablet	1636	32.9	0	0	60	60	0
14A10029	Intense sweetener, containing aspartame & acesulfame-potassium, tablet	1660	58	0	0	36	36	350
